Entry Date,Exit Date,Entry Price,Exit Price,Return,Outcome,Equity
2024-02-02,2024-02-09,66.16,72.13,0.09023579201934702,Target Hit,1.090235792019347
2024-02-12,2024-02-22,72.25,78.54,0.08705882352941186,Target Hit,1.185150437442208
2024-02-23,2024-03-04,78.82,85.24,0.08145140827201221,Target Hit,1.281682609586067
2024-03-05,2024-03-22,85.96,94.29,0.09690553745928354,Target Hit,1.4058847517202218
2024-03-25,2024-04-16,95.0,87.42,-0.07978947368421051,Timed out,1.2937099473198084
2024-05-21,2024-05-23,95.39,103.8,0.08816437781738123,Target Hit,1.4077690799014164
2024-05-24,2024-06-03,106.47,115.0,0.08011646473184936,Target Hit,1.5205545617419263
2024-06-04,2024-06-13,116.44,129.61,0.11310546204053604,Target Hit,1.6925375880055917
2024-06-14,2024-06-24,131.88,118.11,-0.1044131028207461,Stop Hit,1.5158144868011862
2024-10-08,2024-10-21,132.89,143.71,0.08142072390699091,Target Hit,1.6392331996252427
2024-11-06,2024-11-27,145.61,135.34,-0.0705308701325459,Stop Hit,1.523616655705517
2025-01-06,2025-01-14,149.43,131.76,-0.1182493475205783,Stop Hit,1.3434499802968543
2025-05-13,2025-06-03,129.93,141.22,0.08689294235357493,Target Hit,1.4601863019897001
2025-06-04,2025-06-25,141.92,154.31,0.08730270574971827,Target Hit,1.587664517052076
2025-06-26,2025-07-15,155.02,170.7,0.10114823893691122,Target Hit,1.748253986974515
2025-07-16,2025-08-06,171.37,179.42,0.04697438291416224,Timed out,1.8303771391898667
2025-08-07,2025-08-28,180.77,180.17,-0.003319134812192414,Timed out,1.8243018707077405
2025-09-22,2025-10-13,183.61,188.32,0.025652197592723594,Timed out,1.8710992227639107
2025-10-28,2025-11-06,201.03,188.08,-0.06441824603293035,Stop Hit,1.7505662926798804
2026-01-28,2026-02-04,191.52,174.19,-0.0904866332497912,Stop Hit,1.5921634425747093
2026-02-24,2026-03-17,192.85,181.93,-0.056624319419237686,Timed out,1.5020082712347258
