Entry Date,Exit Date,Entry Price,Exit Price,Return,Outcome,Equity
2024-07-01,2024-07-02,209.86,231.26,0.10197274373391774,Target Hit,1.1019727437339177
2024-07-03,2024-07-24,246.39,215.99,-0.12338163074800106,Stop Hit,0.966009549572178
2024-09-19,2024-10-10,243.92,238.77,-0.02111347982945219,Timed out,0.9456137264322276
2024-10-25,2024-11-07,269.19,296.91,0.1029755934470078,Target Hit,1.0429888610832228
2024-11-08,2024-11-11,321.22,350.0,0.08959591557188211,Target Hit,1.1364364030232488
2024-11-22,2024-12-06,352.56,389.22,0.10398230088495582,Target Hit,1.254605675019029
2024-12-09,2024-12-11,389.79,424.77,0.08974062956976823,Target Hit,1.3671947781570408
2024-12-13,2024-12-17,436.23,479.86,0.10001604658093206,Target Hit,1.5039361947744025
2025-04-29,2025-05-12,292.03,318.38,0.09023045577509169,Target Hit,1.639637043085554
2025-05-13,2025-05-27,334.07,362.89,0.08626934474810667,Target Hit,1.7810874564172678
2025-08-25,2025-09-12,346.6,395.94,0.14235429890363524,Target Hit,2.034632912561607
2025-09-15,2025-09-29,410.04,443.21,0.08089454687347565,Target Hit,2.199223620077138
2025-09-30,2025-10-21,444.72,442.6,-0.00476704443245189,Timed out,2.1887398233633326
2025-10-28,2025-11-13,460.55,401.99,-0.1271523178807947,Stop Hit,1.9104364815846837
2025-12-15,2026-01-02,475.31,438.07,-0.07834886705518505,Stop Hit,1.76075594767163
